original_term;original_term_clean;clean_name;country_origin;holding;studio_location
DigitalDNA2;digitaldna2;DigitalDNA Games;USA;;USA
Digitalmindsoft;digitalmindsoft;Digitalmindsoft;DEU;;DEU
Digitalo Studios;digitalo_studios;Digitalo Studios;USA;;USA
Digital-Red;digital_red;Digital Red;CHN;;CHN
DigitalWare;digitalware;Digital Ware;JPN;;JPN
DigiTek Software;digitek_software;DigiTek Software;USA;;USA
Digitial Creations;digital_creations;Digital Creations;USA;;USA
DigiToys;digitoys;DigiToys;JPN;;JPN
Digiturbo;digiturbo;Digiturbo;JPN;;JPN
DigixArt;digixart;DigixArt;SWE;Embracer Group;FRA
Digtal Illusions;dice;EA DICE;USA;Electronic Arts;SWE
Dimfrost Studio;dimfrost_studio;Dimfrost Studio;USA;Maximum Entertainment;SWE
Dimple;dimple;Dimple;JPN;;JPN
Dimple Entertainment;dimple_entertainment;Dimple;JPN;;JPN
Dimps Corporation;dimps_corporation;Dimps;JPN;Sega Sammy Holdings;JPN
Dimps Corporation / Amusement Vision;dimps_amusement_vision;Amusement Vision;JPN;Sega Sammy Holdings;JPN
Dimps Corporation / Dream Execution;dimps_dream_execution;Dimps;JPN;Sega Sammy Holdings;JPN
Dimps Corporation / Sonic Team;dimps_sonic_team;Dimps;JPN;Sega Sammy Holdings;JPN
Dinamic Multimedia;dinamic_multimedia;Dinamic Multimedia;ESP;;ESP
Dinamic Software;dinamic_software;Dinamic Software;ESP;;ESP
Dingaling;dingaling;Dingaling Productions;USA;;USA
Dingo;dingo;Dingo;JPN;;JPN
Dingo Inc.;dingo_inc;Dingo;JPN;;JPN
Dini and Dini Productions;dini_dini_productions;Dini and Dini;USA;;USA
Dinosaur Polo Club;dinosaur_polo_club;Dinosaur Polo Club;NZL;;NZL
Dip Slit;dip_slit;Dip Slit;JPN;;JPN
Diplodocus Games;diplodocus_games;Diplodocus Games;DEU;;DEU
Dire Wolf Digital;dire_wolf_digital;Dire Wolf Digital;USA;;USA
Direct Action Games;direct_action_games;Direct Action Games;USA;;USA
Direct Solutions;direct_solutions;Direct Solutions;JPN;;JPN
Dirge Game Studio;dirge_game_studio;Dirge Game Studio;USA;;USA
Dirigo Games;dirigo_games;Dirigo Games;USA;;USA
Disastercake;disastercake;Disastercake;USA;;USA
Disco;disco;Disco;JPN;;JPN
Discord Games;discord_games;Discord Games;USA;;USA
Discovery Channel Multimedia;discovery_multimedia;Discovery Channel;USA;Warner Bros Discovery;USA
Disney Electronic Content, Inc.;disney_electronic_content;Disney Interactive;USA;Disney;USA
Disney Interactive;disney_interactive;Disney Interactive;USA;Disney;USA
Disney Interactive Studios;disney_interactive_studios;Disney Interactive Studios;USA;Disney;USA
Disney Online;disney_online;Disney Online;USA;Disney;USA
Dispatch Games;dispatch_games;Dispatch Games;USA;;USA
Distinctive Developments Ltd;distinctive_developments;Distinctive Developments;GBR;;GBR
Distinctive Developments Ltd.;distinctive_developments;Distinctive Developments;GBR;;GBR
Distinctive Software;distinctive_software;Distinctive Software;USA;Electronic Arts;CAN
Distinctive Software Inc.;distinctive_software;Distinctive Software;USA;Electronic Arts;CAN
Distinctive Software, Inc.;distinctive_software;Distinctive Software;USA;Electronic Arts;CAN
Distinctive Software,Inc.;distinctive_software;Distinctive Software;USA;Electronic Arts;CAN
DistinctiveÂ Software,Â Inc.;distinctive_software;Distinctive Software;USA;Electronic Arts;CAN
Diversions Entertainment;diversions_entertainment;Diversions;USA;;USA
DivideÂ ByÂ Zero;divide_by_zero;Divide By Zero;GBR;;GBR
DivideÂ ByÂ ZeroÂ Software;divide_by_zero_software;Divide By Zero;GBR;;GBR
Divider1109jp;divider1109jp;Divider1109jp;JPN;;JPN
DJMAX Sound Lab Team;djmax_sound_lab;DJMAX Sound Lab;KOR;Neowiz;KOR
DK Alpla;dk_alpla;DK Alpla;JPN;;JPN
DK Games;dk_games;DK Games;FRA;;FRA
DL Softworks;dl_softworks;DL Softworks;USA;;USA
Dlala Studios;dlala_studios;Dlala Studios;GBR;;GBR
DLsite;dlsite;DLsite;JPN;;JPN
DMA Design;dma_design;Rockstar North;USA;Take Two Interactive;GBR
D'Manga;d_manga;DManga;JPN;;JPN
DMD Enterprise Studio;dmd_enterprise;DMD Enterprise;POL;;POL
DMM Games;dmm_games;EXNOA (DMM);JPN;;JPN
Dmytry Lavrov;dmytry_lavrov;Dmytry Lavrov;USA;;USA
DnC Entertainment;dnc_entertainment;DnC Entertainment;KOR;;KOR
DNS Development;dns_development;DNS Development;USA;;USA
Do My Best;do_my_best;Do My Best;RUS;;RUS
Dobermann;dobermann;Dobermann;JPN;;JPN
Doctor Entertainment;doctor_entertainment;Doctor Entertainment;SWE;;SWE
Dodge Roll;dodge_roll;Dodge Roll;USA;Devolver Digital;USA
Doinksoft;doinksoft;Doinksoft;USA;Devolver Digital;USA
Doki Denki;doki_denki;Doki Denki;FRA;;FRA
Dolores Entertainment SL;dolores_entertainment;Dolores Entertainment;ESP;;ESP
DolphinBarn;dolphinbarn;DolphinBarn;USA;;USA
Domain of the Infinite;domain_of_the_infinite;Domain of the Infinite;USA;;USA
Domark;domark;Domark;JPN;Square Enix Holdings;GBR
Domark Software;domark;Domark;JPN;Square Enix Holdings;GBR
Domark Software, Inc.;domark;Domark;JPN;Square Enix Holdings;GBR
Dome Software;dome_software;Dome Software;JPN;;JPN
Domenecus Software;domenecus_software;Domenecus;ESP;;ESP
Domi;domi;Domi;JPN;;JPN
Dominique Grieshofer;dominique_grieshofer;Dominique Grieshofer;AUT;;AUT
DOMO Studio;domo_studio;DOMO Studio;TWN;;TWN
domric;domric;domric;USA;;USA
Donald Brown;donald_brown;Donald Brown;USA;;USA
Dong Nguyen;dong_nguyen;dotGEARS;VNM;;VNM
Donkey Crew;donkey_crew;Donkey Crew;POL;;POL
Donovan Lourens;donovan_lourens;Donovan Lourens;ZAF;;ZAF
DONTNOD Entertainment;dontnod;Dotnod Entertainment;FRA;;FRA
doozerdude;doozerdude;doozerdude;USA;;USA
Doppler Interactive;doppler_interactive;Doppler Interactive;AUS;;AUS
Doragon Entertainment;doragon_entertainment;Doragon Entertainment;JPN;;JPN
Dorart;dorart;Dorart;JPN;;JPN
Dorasu;dorasu;Dorasu;JPN;;JPN
Dorat;dorat;Dorat;JPN;;JPN
dot zo games;dot_zo_games;dot zo games;USA;;USA
DotEmu;dotemu;DotEmu;FRA;Focus Entertainment;FRA
Dotnod Entertainment;dontnod;Dotnod Entertainment;FRA;;FRA
Double Damage Games;double_damage_games;Double Damage Games;USA;;USA
Double Down Interactive;double_down_interactive;DoubleDown Interactive;KOR;;KOR
Double Eleven;double_eleven;Double Eleven;GBR;;GBR
Double Fine Presents;double_fine_presents;Double Fine Productions;USA;Microsoft Corporation;USA
Double Fine Productions;double_fine_productions;Double Fine Productions;USA;Microsoft Corporation;USA
Double Helix;double_helix;Double Helix Games;USA;Amazon;USA
Double Helix Games;double_helix_games;Double Helix Games;USA;Amazon;USA
Double Six;doublesix;Doublesix;GBR;Catalis Group;GBR
Double Stallion Games;double_stallion_games;Double Stallion Games;CAN;;CAN
Double Tap;double_tap;Double Tap;JPN;;JPN
DoubleBear Productions;doublebear_productions;DoubleBear Productions;USA;;USA
DoubleDutch Games;doubledutch_games;DoubleDutch Games;NLD;;NLD
DoubleMoose Games;doublemoose_games;DoubleMoose Games;SWE;;SWE
Doublesix;doublesix;Doublesix;GBR;Catalis Group;GBR
DoubleTap Games;doubletap_games;Double Tap;JPN;;JPN
Douglas E. Smith;douglas_e_smith;Douglas E Smith;USA;;USA
Dovetail Games;dovetail_games;Dovetail Games;FRA;Focus Entertainment;GBR
DP Games;dp_games;DP Games;JPN;;JPN
D-Pad Studio;d_pad_studio;D Pad Studio;NOR;;NOR
D-Pad Studios;d_pad_studio;D Pad Studio;NOR;;NOR
DPFLASHES STUDIOS;dpflashes_studios;DPFLASHES STUDIOS;USA;;USA
DQ Team;dq_team;DQ Team;FRA;;FRA
Dr Joker;dr_joker;Dr Joker;TUR;;TUR
Draconian;draconian;Draconian;USA;;USA
Drageus Games / QubicGames S.A.;drageus_qubicgames;QubicGames;POL;;POL
DragonDivide;dragondivide;DragonDivide;USA;;USA
Dragonest;dragonest;Dragonest;CHN;;CHN
Dragonfly;dragonfly;Dragonfly;KOR;;KOR
Dragon's Den Unlimted;dragons_den_unlimited;Dragons Den;USA;;USA
Dragonstone Software;dragonstone_software;Dragonstone Software;USA;;USA
DragonWorks Interactive;dragonworks_interactive;DragonWorks;USA;;USA
Drakhar Studio;drakhar_studio;Drakhar Studio;ESP;;ESP
Drakkar Dev;drakkar_dev;Drakkar Dev;ITA;;ITA
Draknek;draknek;Draknek & Friends;GBR;;GBR
Dramatic Create;dramatic_create;Dramatic Create;JPN;;JPN
Dramatic Labs;dramatic_labs;Dramatic Labs;USA;;USA
Draw Distance;draw_distance;Draw Distance;POL;Bloober Team;POL
Draw Me A Pixel;draw_me_a_pixel;Draw Me A Pixel;FRA;;FRA
Dread Hunger Team;dread_hunger_team;Dread Hunger Team;CHN;Tencent;GBR
Dreadbit;dreadbit;Dreadbit;GBR;;GBR
Dreadlocks Ltd;dreadlocks_ltd;Dreadlocks;CZE;;CZE
Dream Come True;dream_come_true;Dream Come True;JPN;;JPN
Dream Dale;dream_dale;Dream Dale;JPN;;JPN
Dream Factory;dream_factory;Dream Factory;JPN;;JPN
Dream Forge Entertainment;dreamforge_entertainment;DreamForge;USA;;USA
Dream Japan;dream_japan;Dream Japan;JPN;;JPN
Dream On;dream_on;Dream On;JPN;;JPN
Dream On Studio;dream_on_studio;Dream On Studio;FRA;;FRA
Dream Reactor;dream_reactor;Dream Reactor;CAN;;CAN
Dream Works;dreamworks;DreamWorks Games;USA;Comcast (NBCUniversal);USA
Dreamatrix;dreamatrix;Dreamatrix;HRV;;HRV
DreamBox Games;dreambox_games;DreamBox Games;JPN;;JPN
Dreamcatcher;dreamcatcher;DreamCatcher Interactive;SWE;Embracer Group;CAN
DreamCatcher Interactive;dreamcatcher;DreamCatcher Interactive;SWE;Embracer Group;CAN
dreamfab;dreamfab;dreamfab;DEU;;DEU
DreamFactory;dream_factory;Dream Factory;JPN;;JPN
DreamForge;dreamforge;DreamForge;USA;;USA
DreamForge Intertainment;dreamforge;DreamForge;USA;;USA
Dreamloop Games;dreamloop_games;Dreamloop Games;FIN;;FIN
Dreampainters;dreampainters;Dreampainters;ITA;;ITA
DreamRift;dreamrift;DreamRift;USA;;USA
Dreams;dreams;Dreams;JPN;;JPN
Dreams Interactive;dreams_interactive;Dreams Interactive;GBR;;GBR
Dreams Uncorporated;dreams_uncorporated;Dreams Uncorporated;COL;;COL
Dreams, Inc.;dreams_inc;Dreams;JPN;;JPN
DreamSoft;dreamsoft;DreamSoft;RUS;;RUS
Dreamworks Games;dreamworks;DreamWorks Games;USA;Comcast (NBCUniversal);USA
DreamWorks Interactive;dreamworks;DreamWorks Games;USA;Comcast (NBCUniversal);USA
Dreamworlds;dreamworlds;Dreamworlds;AUS;;AUS
DreamXCreate;dreamxcreate;DreamXCreate;JPN;;JPN
Drew Pictures;drew_pictures;Drew Pictures;JPN;;JPN
DrinkBox Studios;drinkbox_studios;DrinkBox Studios;CAN;;CAN
DrMistry;drmistry;DrMistry;IND;;IND
Drool;drool;Drool;USA;;USA
Drumskull Games Inc;drumskull_games;Drumskull Games;USA;;USA
Dry Cactus Limited;dry_cactus;Dry Cactus;NZL;;NZL
DSI Games;dsi_games;DSI Games;USA;Zoo World;USA
DSRush;dsrush;DSRush;USA;;USA
DTMC;dtmc;DTMC;USA;;USA
dtp - young entertainment;dtp_young;DTP Young Entertainment;DEU;;DEU
DTP Entertainment;dtp_entertainment;DTP Young Entertainment;DEU;;DEU
dtp entertainment AG;dtp_entertainment;DTP Young Entertainment;DEU;;DEU
DTP Young Entertainment;dtp_young;DTP Young Entertainment;DEU;;DEU
Duaik Entretenimento;duaik_entretenimento;Duaik Entretenimento;BRA;;BRA
Dual;dual;Dual;JPN;;JPN
DUALHAZE;dualhaze;DUALHAZE;JPN;;JPN
Duality Games;duality_games;Duality Games;POL;;POL
duality72;duality72;duality72;USA;;USA
Duane Hoyt;duane_hoyt;Duane Hoyt;USA;;USA
duangle;duangle;duangle;DEU;;DEU
Dubman;dubman;Dubman;USA;;USA
DuCats Games Studio;ducats_games;DuCats Games;RUS;;RUS
DUCK;duck;DUCK;JPN;;JPN
Duckocide;duckocide;Duckocide;USA;;USA
Dufgames;dufgames;Dufgames;CHE;;CHE
DunhamBrosGames;dunham_bros_games;DunhamBrosGames;USA;;USA
Dunhill Electronic Media Corp;dunhill_corp;Dunhill Electronics;USA;;USA
Dunhill Electronics;dunhill_electronics;Dunhill Electronics;USA;;USA
Duranik;duranik;Duranik;DEU;;DEU
Dusenberry Martin Racing;dusenberry_martin;Motorsport Games;USA;Motorsport Network;USA
Dust Devil Studios;dust_devil_studios;Dust Devil Studios;USA;;USA
DUX Software Corporation;dux_software;DUX Software;USA;;USA
Dwarf Biter;dwarf_biter;Dwarf Biter;SWE;;SWE
dy;dy;dy;JPN;;JPN
Dylan Fitterer;dylan_fitterer;Dylan Fitterer;USA;;USA
Dymchick1;dymchick1;Dymchick1;UKR;;UKR
Dyna;dyna;Dyna;JPN;;JPN
Dynamic Adventures;dynamic_adventures;Dynamic Adventures;USA;;USA
Dynamic Pixels;dynamic_pixels;Dynamic Pixels;RUS;;RUS
Dynamic Systems;dynamic_systems;Dynamic Systems;USA;;USA
Dynamic Voltage Games;dynamic_voltage_games;Dynamic Voltage Games;USA;;USA
DYNAMICNEXT;dynamicnext;DYNAMICNEXT;JPN;;JPN
Dynamighty;dynamighty;Dynamighty;USA;;USA
Dynamite;dynamite;Dynamite;JPN;;JPN
Dynamix;dynamix;Dynamix;FRA;Vivendi;USA
Dynamix, Inc.;dynamix;Dynamix;FRA;Vivendi;USA
Dynamix,Â Inc.;dynamix;Dynamix;USA;Extinta (Vivendi legacy);USA
Dynamo Games;dynamo_games;Dynamo Games;GBR;;GBR
E.O. Imagination;e_o_imagination;EO Imagination;JPN; ;JPN
E.V.E. Digital;eve_digital;EVE Digital;USA; ;USA
EA;ea;Electronic Arts;USA;Electronic Arts;USA
EA Black Box;ea_black_box;EA Black Box;USA;Electronic Arts;CAN
EA Bright Light;ea_bright_light;EA Bright Light;USA;Electronic Arts;GBR
EA Bright Light Productions;ea_bright_light_productions;EA Bright Light;USA;Electronic Arts;GBR
EA Canada;ea_canada;EA Vancouver;USA;Electronic Arts;CAN
EA Chicago;ea_chicago;EA Chicago;USA;Electronic Arts;USA
EA DICE;dice;EA DICE;USA;Electronic Arts;SWE
EA Digital Illusions CE;dice;EA DICE;USA;Electronic Arts;SWE
EA Digital Illusions CE AB;dice;EA DICE;USA;Electronic Arts;SWE
EA Freestyle;ea_freestyle;EA Freestyle;USA;Electronic Arts;USA
EA Games;ea_games;EA Games;USA;Electronic Arts;USA
EA Japan Studio;ea_japan_studio;EA Japan;USA;Electronic Arts;JPN
EA Los Angeles;ea_los_angeles;Danger Close Games;USA;Electronic Arts;USA
EA Los Angeles / 2015, Inc.;ea_la_2015;EA Los Angeles;USA;Electronic Arts;USA
EA Los Angeles\ Westwood Studios;ea_la_westwood;EA Los Angeles;USA;Electronic Arts;USA
EA Mobile;ea_mobile;EA Mobile;USA;Electronic Arts;USA
EA mobile;ea_mobile;EA Mobile;USA;Electronic Arts;USA
EA Montreal;ea_montreal;EA Montreal;USA;Electronic Arts;CAN
EA Originals;ea_originals;EA Originals;USA;Electronic Arts;USA
EA Pacific;ea_pacific;EA Pacific;USA;Electronic Arts;USA
EA Phenomic;ea_phenomic;EA Phenomic;USA;Electronic Arts;DEU
EA Redwood Shores;ea_redwood_shores;Visceral Games;USA;Electronic Arts;USA
EA Salt Lake;ea_salt_lake;EA Salt Lake;USA;Electronic Arts;USA
EA Seattle;ea_seattle;EA Seattle;USA;Electronic Arts;USA
EA Sports;ea_sports;EA Sports;USA;Electronic Arts;USA
EA Sports BIG;ea_sports_big;EA Sports BIG;USA;Electronic Arts;USA
EA Tiburon;ea_tiburon;EA Tiburon;USA;Electronic Arts;USA
EA UK;ea_uk;EA UK;USA;Electronic Arts;GBR
EA Vancouver;ea_vancouver;EA Vancouver;USA;Electronic Arts;CAN
EAÂ Canada;ea_canada;EA Vancouver;USA;Electronic Arts;CAN
EAÂ Tiburon;ea_tiburon;EA Tiburon;USA;Electronic Arts;USA
Eagle Capital LLC.;eagle_capital_llc;Eagle Capital;USA; ;USA
Eagle Dynamics;eagle_dynamics;Eagle Dynamics;RUS;;RUS
Eants;eants;Eants;JPN; ;JPN
Earthlight Productions;earthlight_productions;Earthlight Productions;USA; ;USA
Earthly Production;earthly_production;Earthly Production;JPN; ;JPN
Earthly Soft;earthly_soft;Earthly Soft;JPN; ;JPN
EarthWork Games;earthwork_games;EarthWork Games;AUS; ;AUS
East Entertainment Media;east_entertainment;East Entertainment;JPN; ;JPN
East Point Software LTD;east_point_software;East Point Software;GBR; ;GBR
EastAsiaSoft;eastasiasoft;EastAsiaSoft;HKG;;HKG
EastPoint;eastpoint;East Point Software;GBR; ;GBR
Eastridge Technology;eastridge_technology;Eastridge Technology;USA; ;USA
Easy Day Studios Pty Ltd;easy_day_studios;Easy Day Studios;AUS; ;AUS
EASY Inc.;easy_inc;EASY;JPN; ;JPN
Easy Interactive;easy_interactive;Easy Interactive;NLD; ;NLD
Easy Trigger Games;easy_trigger_games;Easy Trigger;SWE;Embracer Group;SWE
EasyGameStation;easygamestation;EasyGameStation;JPN; ;JPN
Eat Sleep Play;eat_sleep_play;Eat Sleep Play;USA;;USA
Ebb Software;ebb_software;Ebb Software;GBR;;GBR
EC Interactive;ec_interactive;EC Interactive;JPN; ;JPN
EC Interactive Games;ec_interactive_games;EC Interactive;JPN; ;JPN
ECHS BACHS;echs_bachs;ECHS BACHS;JPN; ;JPN
Echtra Games;echtra_games;Echtra Games;USA;Take Two Interactive;USA
ECI;eci;ECI;JPN; ;JPN
Eclipse Entertainment;eclipse_entertainment;Eclipse Entertainment;USA;;USA
Eclipse Games;eclipse_games;Eclipse Games;ESP; ;ESP
Eclipse Productions;eclipse_productions;Eclipse Productions;USA; ;USA
Eclipse Software;eclipse_software;Eclipse Software;GBR;;GBR
Ecole;ecole;Ecole Software;JPN; ;JPN
Ecole Software;ecole_software;Ecole Software;JPN; ;JPN
ECRUSH DI DI NATALE SALVATORE;ecrush_di_natale;ECRUSH;ITA; ;ITA
Ed Federmeyer;ed_federmeyer;Ed Federmeyer;USA; ;USA
Ed Key and David Kanaga;ed_key_david_kanaga;Ed Key;GBR; ;GBR
Ed Magnin and Associates;ed_magnin_associates;Ed Magnin;USA; ;USA
EdAndersenUK;ed_andersen_uk;EdAndersenUK;GBR; ;GBR
Edelweiss;edelweiss;Edelweiss;JPN; ;JPN
Eden Entertainment Software;eden_games;Eden Games;HKG;Animoca Brands;FRA
Eden Games;eden_games;Eden Games;HKG;Animoca Brands;FRA
Eden Industries;eden_industries;Eden Industries;CAN; ;CAN
Eden Studios;eden_games;Eden Games;HKG;Animoca Brands;FRA
Eden Studios / Delphine Software International;eden_delphine; Delphine Software;FRA;;FRA
Edge of Reality;edge_of_reality;Edge of Reality;USA;;USA
Edge WORKS;edge_works;Edge WORKS;JPN; ;JPN
Edia;edia;Edia Corporation;JPN;;JPN
Edia Co.;edia_co;Edia Corporation;JPN;;JPN
Edia Corporation;edia_corp;Edia Corporation;JPN;;JPN
Edios Interactive;eidos_interactive;Eidos Interactive;GBR;Eidos Interactive;GBR
Edmark;edmark;Edmark;USA;IBM Corporation;USA
Edmund McMillen;edmund_mcmillen;Edmund McMillen;USA; ;USA
Eduardas Klenauskis;eduardas_klenauskis;Eduardas Klenauskis;LTU; ;LTU
EduardoJimenez;eduardojimenez;EduardoJimenez;ESP; ;ESP
Educational Network;educational_network;Educational Network;JPN; ;JPN
Eek! Games, LLC;eek_games;Eek Games;USA; ;USA
EfimovMax;efimov_max;EfimovMax;RUS; ;RUS
Eforb;eforb;Eforb;USA; ;UKR
E-Frontier;e_frontier;E Frontier;JPN; ;JPN
EFUN COMPANY LIMITED;efun_company;Efun;CHN;;CHN
eFusion MMOG GmbH;efusion_mmog;eFusion;DEU; ;DEU
E-game;e_game;E game;JPN; ;JPN
eGames;egames;eGames;USA;;USA
E-Games;egames;eGames;USA;;USA
eGames, Inc.;egames_inc;eGames;USA;;USA
eGames/Techfront;egames_techfront;Techfront;IND; ;IND
eGazm;egazm;eGazm;USA; ;USA
Eggcode;eggcode;Eggcode;DEU; ;DEU
Egidijus Bachur;egidijus_bachur;Egidijus Bachur;LTU; ;LTU
Egor Magurin;egor_magurin;Egor Magurin;RUS; ;RUS
Egosoft;egosoft;Egosoft;DEU; ;DEU
E-Home Entertainment;e_home_entertainment;E Home;USA;Microsoft Corporation;CHN
Eiconic Games;eiconic_games;Eiconic Games;GBR; ;GBR
Eicus Software;eicus_software;Eicus Software;USA; ;USA
Eidetic;eidetic;Bend Studio;JPN;Sony Interactive Entertainment;USA
Eidos Hungary;eidos_hungary;Eidos Hungary;GBR;Eidos Interactive;HUN
Eidos Interactive;eidos_interactive;Eidos Interactive;GBR;Eidos Interactive;GBR
Eidos Interactive Ltd;eidos_interactive_ltd;Eidos Interactive;GBR;Eidos Interactive;GBR
Eidos Montreal;eidos_montreal;Eidos Montreal;GBR;Eidos Interactive;CAN
Eidos Studios Hungary;eidos_hungary;Eidos Hungary;GBR;Eidos Interactive;HUN
Eighting;eighting;Eighting;JPN;Colopl;JPN
Eighting / Raizing;eighting_raizing;Eighting;JPN;Colopl;JPN
Eighting/Raizing;eighting_raizing;Eighting;JPN;Colopl;JPN
EightyEightGames;eighty_eight_games;EightyEightGames;GBR; ;GBR
EIM;eim;EIM;JPN; ;JPN
Eipix;eipix;Eipix Entertainment;IRL;;IRL
Eipix Entertainment;eipix_entertainment;Eipix Entertainment;IRL;;IRL
EKO;eko;Eko Software;FRA;Nacon;FRA
EKO Software;eko_software;Eko Software;FRA;Nacon;FRA
EKO System;eko_system;Eko Software;FRA;Nacon;FRA
El Dia;el_dia;El Dia;JPN; ;JPN
El Huervo;el_huervo;El Huervo;SWE; ;SWE
Elcom;elcom;Elcom;JPN; ;JPN
Elden Pixels;elden_pixels;Elden Pixels;SWE; ;SWE
Eleca;eleca;Eleca;JPN; ;JPN
Electra;electra;Electra;JPN; ;JPN
Electric Dreams Software;electric_dreams;Electric Dreams;GBR;;GBR
Electro Brain;electro_brain;Electro Brain;USA;;USA
Electro Source;electro_source;Electro Source;JPN; ;JPN
Electron Jump Games;electron_jump_games;Electron Jump;USA; ;USA
Electronic Arts;electronic_arts;Electronic Arts;USA;Electronic Arts;USA
Electronic Arts / Cyan Worlds;ea_cyan_worlds;EA Cyan Worlds;USA;Electronic Arts;USA
Electronic Arts Casual Studios;ea_casual_studios;EA Casual;USA;Electronic Arts;USA
Electronic Arts North Carolina;ea_north_carolina;EA North Carolina;USA;Electronic Arts;USA
Electronic Arts Victor;ea_victor;EA Victor;USA;Electronic Arts;JPN
Electronic Arts, Eden Studios;ea_eden_studios;EA Eden Studios;USA;Electronic Arts;FRA
Electronic Arts, Maxis Software;ea_maxis_software;Maxis;USA;Electronic Arts;USA
Electronic Innovative Design;eid;EID;JPN; ;JPN
Electronic Paradise;electronic_paradise;Electronic Paradise;RUS; ;RUS
Electronic Visual Elements;eve;EVE Digital;USA; ;USA
ElectronicÂ ArtsÂ UK;ea_uk;EA UK;USA;Electronic Arts;GBR
Elektro Games;elektro_games;Elektro Games;CZE; ;CZE
Element 5;element_5;Element 5;USA;;USA
Elemental Games;elemental_games;Elemental Games;RUS; ;RUS
Elements;elements;Elements;JPN; ;JPN
Elephant Entertainment;elephant_entertainment;Elephant Games;RUS; ;RUS
Elephant Games;elephant_games;Elephant Games;RUS; ;RUS
Elf;elf;Elf;JPN;;JPN
Elf Games;elf_games;Elf Games;ITA; ;ITA
E-Line Media;e_line_media;E Line Media;USA; ;USA
Elite;elite;Elite Systems;GBR; ;GBR
Elite Games Team;elite_games_team;Elite Games Team;UKR; ;UKR
Elite Systems Ltd.;elite_systems;Elite Systems;GBR; ;GBR
Elixir Studios;elixir_studios;Elixir Studios;GBR;;GBR
Ellipse Studios;ellipse_studios;Ellipse Studios;FRA; ;FRA
Elo Interactive;elo_interactive;Elo Interactive;BRA; ;BRA
Elseware Experience;elseware_experience;Elseware;FRA; ;FRA
Elsinore Multimedia;elsinore_multimedia;Elsinore Multimedia;USA;;USA
ELYLAND INVESTMENT COMPANY Ltd;elyland;Elyland;UKR; ;UKR
Elysian Shadows Team;elysian_shadows;Elysian Shadows;USA; ;USA
Elysium Game Studio;elysium_game_studio;Elysium Game Studio;DEU; ;DEU
EM Studios;em_studios;EM Studios;GBR; ;GBR
EM Studios Limited;em_studios_ltd;EM Studios;GBR; ;GBR
Emad;emad;Emad;JPN; ;JPN
Ematic;ematic;Ematic;USA; ;USA
Embark Studios;embark_studios;Embark Studios;KOR;Nexon;SWE
Ember Entertainment;ember_entertainment;Ember Entertainment;USA; ;USA
Ember Lab;ember_lab;Ember Lab;USA; ;USA
Emerging Ent.;emerging_ent;Emerging Ent;USA; ;USA
Emilie COYO;emilie_coyo;Emilie COYO;FRA; ;FRA
Emme Interactive;emme_interactive;Emme;FRA;Claranova;FRA
Emotion;emotion;Emotion;JPN;Bandai Namco;JPN
Emotion, Inc.;emotion_inc;Emotion;JPN;Bandai Namco;JPN
Empire Interactive;empire_interactive;Empire Interactive;USA;;USA
Empire Oxford;empire_oxford;Empire Oxford;USA;;USA
Empty Clip Studios;empty_clip_studios;Empty Clip Studios;USA; ;USA
Empyrean;empyrean;Empyrean;POL;PlayWay;POL
Emu;emu;Emu;JPN; ;JPN
En House Studios;en_house_studios;En House Studios;USA; ;USA
En Masse;en_masse;En Masse Entertainment;KOR;Krafton;USA
En Masse Entertainment;en_masse_entertainment;En Masse Entertainment;KOR;Krafton;USA
Encore;encore;Encore Software;USA;Speedel;USA
Encore Games;encore_games;Encore Software;USA;Speedel;USA
Encore Software;encore_software;Encore Software;USA;Speedel;USA
Encore Software / Henson Productions Inc.;encore_henson;Encore Software;USA;Speedel;USA
Encore Software, Inc.;encore_software_inc;Encore Software;USA;Speedel;USA
Endemol;endemol;Endemol Shine;FRA;;FRA
Endgame Studios;endgame_studios;Endgame Studios;AUS; ;AUS
Endless Fluff Games;endless_fluff_games;Endless Fluff;USA; ;USA
Endless Loop Studios;endless_loop_studios;Endless Loop;GBR; ;GBR
Endnight Games Ltd;endnight_games;Endnight Games;CAN; ;CAN
Enemy Technology;enemy_technology;Enemy Technology;USA; ;USA
Engine Software;engine_software;Engine Software;NLD; ;NLD
Engine Software BV;engine_software_bv;Engine Software;NLD; ;NLD
Enhance;enhance;Enhance Experience;USA; ;USA
Enigami SAS;enigami;Enigami;FRA;;FRA
Enigma Software Productions;enigma_software;Enigma Software;ESP; ;ESP
Enigma Variations;enigma_variations;Enigma Variations;GBR;;GBR
Enix;enix;Enix;JPN;Square Enix Holdings;JPN
Enix Corporation;enix_corp;Enix;JPN;Square Enix Holdings;JPN
Enix corporation., Chunsoft Co., Ltd.;enix_chunsoft;Enix;JPN;Square Enix Holdings;JPN
Enjoy Gaming;enjoy_gaming;Enjoy Gaming;GBR; ;GBR
Enjoy Gaming Ltd;enjoy_gaming_ltd;Enjoy Gaming;GBR; ;GBR
Enjoy Gaming ltd.;enjoy_gaming_ltd;Enjoy Gaming;GBR; ;GBR
EnjoyGaming;enjoy_gaming;Enjoy Gaming;GBR; ;GBR
EnjoyUP;enjoyup;EnjoyUP Games;ESP; ;ESP
EnjoyUp Games;enjoyup_games;EnjoyUP Games;ESP; ;ESP
