original_term;original_term_clean;clean_name;country_origin;holding;studio_location
4PM Game LTD;4pm_game;4PM Game;GBR;;GBR
4Pockets.com;4pockets;4Pockets;GBR;;GBR
4sdk;4sdk;4sdk;DEU;;DEU
4X Studios;4x_studios;4X Studios;FRA;;FRA
5 Bits Games;5_bits_games;5 Bits Games;ESP;;ESP
5 Lives Studios;5_lives_studios;5 Lives Studios;AUS;;AUS
5 Miles Out;5_miles_out;5 Miles Out;GBR;;GBR
5000ft;5000ft;5000ft;USA;;USA
505 Games;505_games;505 Games;ITA;Digital Bros;ITA
505 Games US, Inc.;505_games_us;505 Games;ITA;Digital Bros;USA
5pb;5pb;5pb;JPN;Colopl;JPN
5pb. Games;5pb;5pb;JPN;Colopl;JPN
5pb. Inc.;5pb;5pb;JPN;Colopl;JPN
5TH Cell;5th_cell;5th Cell;USA;;USA
5th Cell;5th_cell;5th Cell;USA;;USA
6 Eyes Studio;6_eyes_studio;6 Eyes Studio;USA;;USA
64WD Corporation;64wd_corporation;64WD Corporation;JPN;SNK;JPN
7 Raven Studios Co. Ltd.;7_raven_studios;7 Raven Studios;THA;;THA
7 Studios;7_studios;7th Level;USA;;USA
704Games;704games;704Games;USA;Motorsport Network;USA
777 Studios;777_studios;777 Studios;RUS;;RUS
7FX;7fx;7FX;USA;;USA
7G//AMES;7g_ames;7G AMES;BRA;;BRA
7Levels;7levels;7Levels;POL;;POL
7Raven Studios;7_raven_studios;7 Raven Studios;THA;;THA
7th Level;7th_level;7th Level;USA;;USA
7th Sense;7th_sense;7th Sense;ITA;;ITA
7th Sense s.r.l.;7th_sense;7th Sense;ITA;;ITA
7thChord;7thchord;7thChord;JPN;;JPN
800 North and Digital Ranch;800_north;800 North;USA;;USA
8bit Games;8bit_games;8 Bit Games;GBR;;GBR
8bits fanatics;8bits_fanatics;8bits fanatics;JPN;;JPN
8Floor;8floor;8Floor;GBR;;GBR
8ing/Raizing;8ing_raizing;Eighting;JPN;Colopl;JPN
8MonkeyLabs;8monkey_labs;8Monkey Labs;USA;;USA
8ting/Raizing;8ing_raizing;Eighting;JPN;Colopl;JPN
9 Eyes Game Studio;9_eyes_game_studio;9 Eyes Game Studio;FRA;;FRA
93 Games Studio;93_games_studio;93 Games Studio;TUR;;TUR
989 Sports;989_studios;989 Studios;JPN;Sony Interactive Entertainment;USA
989 Studios;989_studios;989 Studios;JPN;Sony Interactive Entertainment;USA
99Games;99games;99Games;IND;;IND
99Games Online Private Limited;99games;99Games;IND;;IND
9heads Game Studios;9heads_game_studios;9heads Game Studios;BRA;;BRA
A Brave Plan;a_brave_plan;A Brave Plan;GBR;;GBR
A Crowd of Monsters;a_crowd_of_monsters;A Crowd of Monsters;ESP;;ESP
A Different Game;a_different_game;A Different Game;SWE;;SWE
A&E Games;a_e_games;A+E Networks;USA;Disney;USA
A&E Television Networks Mobile;a_e_games;A+E Networks;USA;Disney;USA
A.C.R.O.N.Y.M. Games;acronym_games;Acronym Games;CAN;;CAN
A.C.R.O.N.Y.M. Games Inc.;acronym_games;Acronym Games;CAN;;CAN
a.k.a Studios;aka_studios;Aka Studios;FRA;;FRA
A.S.K. Homework;ask_homework;Ask Homework;USA;;USA
A.Y.std;a_y_std;A Y Std;IDN;;IDN
A+ Games;aplus_games;Aplus Games;JPN;;JPN
A1 Games;a1_games;Agetec;USA;;USA
A2M;a2m;Behaviour Interactive;CAN;;CAN
A44 Games;a44_games;A44 Games;NZL;;NZL
AAA;aaa;AAA Game Solutions;IND;;IND
Aabs;aabs;Aabs;JPN;;JPN
Aardman Animations;aardman_animations;Aardman Animations;GBR;;GBR
Aardvark Software;aardvark_software;Aardvark Software;GBR;;GBR
Aaron Ramsey;aaron_ramsey;Aaron Ramsey;GBR;;GBR
Abacus Software;abacus_software;Abacus Software;USA;;USA
Abalone;abalone;Abalone;FRA;;FRA
Abandon Interactive;abandon_interactive;Abandon Interactive;USA;;USA
Abandon Interactive Entertainment;abandon_interactive;Abandon Interactive;USA;;USA
Abbey Games;abbey_games;Abbey Games;NLD;;NLD
Abel;abel_software;Abel Software;USA;;USA
Abel Software;abel_software;Abel Software;USA;;USA
Abersoft;abersoft;Abersoft;SWE;;SWE
ABHIVAV;abhivav;Abhinav Group;IND;;IND
Abico;abico;Abico Group;TWN;;TWN
abnormalsoft;abnormalsoft;Abnormal AI;USA;;USA
Abraham Morales;abraham_morales;Abraham Morales;MEX;;MEX
Absolute Entertainment;absolute_entertainment;Absolute Entertainment;USA;Absolute Entertainment;USA
Absolutist Ltd.;absolutist;Absolutist;UKR;;UKR
Abstraction Games;abstraction_games;Abstraction;USA;Devolver Digital;NLD
ABX Games;abx_games;ABX Games;FRA;;FRA
Abylight;abylight;Abylight Studios;ESP;;ESP
Access;access;Access Industries;USA;Access Industries;USA
Access Games;access_games;Access Games;USA;Access Industries;JPN
Access Software;access_software;Access Software;USA;Access Industries;USA
Access Software, Inc.;access_software;Access Software;USA;Access Industries;USA
Access/Multimedia Intelligence Transfer;access_mit;Access MIT;USA;Access Industries;JPN
Accidental Queens;accidental_queens;Accidental Queens;FRA;;FRA
Acclaim;acclaim;Acclaim Entertainment;USA;Acclaim Entertainment;USA
Acclaim Entertainment;acclaim_entertainment;Acclaim Entertainment;USA;Acclaim Entertainment;USA
Acclaim Studios Austin;acclaim_studios_austin;Acclaim Entertainment;USA;Acclaim Entertainment;USA
Acclaim Studios Cheltenham;acclaim_studios_cheltenham;Acclaim Entertainment;USA;Acclaim Entertainment;GBR
Acclaim Studios London;acclaim_studios_london;Acclaim Entertainment;USA;Acclaim Entertainment;GBR
Acclaim Studios Salt Lake City;acclaim_studios_salt_lake_city;Acclaim Entertainment;USA;Acclaim Entertainment;USA
Acclaim Studios Teesside;acclaim_studios_teesside;Acclaim Entertainment;USA;Acclaim Entertainment;GBR
AcclaimÂ StudiosÂ Austin;acclaim_studios_austin;Acclaim Entertainment;USA;Extinta;USA
AcclaimÂ StudiosÂ Cheltenham;acclaim_studios_cheltenham;Acclaim Entertainment;USA;Extinta;GBR
AcclaimÂ StudiosÂ SaltÂ LakeÂ City;acclaim_studios_salt_lake_city;Acclaim Entertainment;USA;Extinta;USA
Accolade;accolade;Accolade;FRA;Atari SA;USA
Accolade, Inc;accolade;Accolade;FRA;Atari SA;USA
ACE Team;ace_team;ACE Team;CHL;;CHL
ACE Technology Co., Ltd.;ace_technology;ACE Technology;KOR;;KOR
Acer;acer;Acer;TWN;;TWN
